"Label","Sample_ID","Condition","Identifiant","Groupe_de_Fibre","Type_de_Mesure","Area","Mean","StdDev","Min","Max","Major","Minor","Angle","Circ.","IntDen","Median","Skew","Kurt","X.Area","RawIntDen","Slice","AR","Round","Solidity","MinThr","MaxThr","Moyenne_Background","Repos","VMA","AIT","Repos_centrage","VMA_centrage"
"1321-1245","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",703,12.119,6.66,7,40,34.811,25.712,114.605,0.945,12813,18,0.496,-0.297,100,12813,1,1.354,0.739,1.001,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1920-1683","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",577,6.824,2.795,7,23,27.938,26.296,9.037,0.962,7461,12,0.765,0.343,100,7461,1,1.062,0.941,0.99,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1927-1755","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",280,4.779,1.36,8,16,22.871,15.587,26.605,0.927,3048,11,0.319,0.043,100,3048,1,1.467,0.682,1.007,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1202-1729","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",536,53.54,27.446,16,127,28.7,23.779,11.943,0.98,31971,54,0.528,-0.797,100,31971,1,1.207,0.829,1.002,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1696-1545","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",356,22.724,6.782,14,45,26.888,16.858,174.503,0.911,10264,29,-0.015,-0.804,100,10264,1,1.595,0.627,0.993,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1803-0531","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",324,22.748,14.153,8,70,23.667,17.431,49.709,0.945,9349,25,0.87,-0.071,100,9349,1,1.358,0.737,0.988,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1860-0658","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",490,19.452,6.611,11,43,25.336,24.625,103.06,0.975,12524,25,0.21,-0.734,100,12524,1,1.029,0.972,1.001,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0719-1970","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",355,16.955,6.289,14,42,30.223,14.955,30.352,0.812,8187,21,0.848,-0.094,100,8187,1,2.021,0.495,0.992,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0864-1870","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",330,28.384,14.811,12,75,25.179,16.687,32.073,0.939,11382,31,0.661,-0.626,100,11382,1,1.509,0.663,0.991,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0877-1420","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",555,5.524,3.449,5,22,33.117,21.338,87.696,0.762,6455,11,0.555,-0.463,100,6455,1,1.552,0.644,0.962,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1091-1585","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",410,5.169,3.43,6,21,25.042,20.846,63.973,0.898,4623,10,0.768,-0.153,100,4623,1,1.201,0.832,0.987,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1094-1636","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",275,4.995,2.194,7,18,20.521,17.062,150.326,0.937,3053,11,0.607,-0.021,100,3053,1,1.203,0.831,0.965,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1136-1882","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",534,50.103,24.625,17,112,30.39,22.373,10.025,0.952,30016,54,0.419,-0.883,100,30016,1,1.358,0.736,1.01,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1317-1621","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",334,47.896,14.908,21,88,28.535,14.903,157.259,0.797,18037,54,-0.01,-0.946,100,18037,1,1.915,0.522,0.946,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1373-1898","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",736,24.623,17.368,6,74,33.563,27.921,11.482,0.969,22617,28,0.463,-0.832,100,22617,1,1.202,0.832,0.997,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1425-0738","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",675,12.61,10.98,7,54,35.545,24.179,44.917,0.927,12634,14,1.136,0.231,100,12634,1,1.47,0.68,0.999,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1427-1069","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",739,56.28,50.897,6,183,35.646,26.396,69.732,0.921,46104,50,0.625,-0.866,100,46104,1,1.35,0.741,0.997,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1480-0404","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",350,9.916,2.345,10,24,22.18,20.091,73.064,0.971,5608,16,0.161,-0.209,100,5608,1,1.104,0.906,0.985,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1480-1637","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",490,26.564,12.225,11,63,30.293,20.595,1.512,0.928,16009,33,0.135,-1.048,100,16009,1,1.471,0.68,0.99,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1549-0691","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",839,9.46,3.24,7,26,38.526,27.728,11.239,0.929,13061,16,0.063,-0.239,100,13061,1,1.389,0.72,0.996,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
