Identifiant;Valeurs_Mean_Background_1;Valeurs_Mean_Background_2;Valeurs_Mean_Background_3;Moyenne_Background
CT1;6.085;6.082;6.068;6.078
CT2;6.053;6.075;6.157;6.095
CT3;6.084;6.294;6.068;6.149
CT4;6.168;6.122;6.057;6.116
CT5;6.161;6.21;6.157;6.176
CT6;6.177;6.109;6.166;6.151
CT7;6.143;6.066;6.1;6.103
CT8;6.235;6.143;6.151;6.176
AIT1;6.081;6.088;6.151;6.107
AIT2;6.138;6.117;6.102;6.119
AIT3;6.103;6.137;6.107;6.116
AIT4;6.205;6.097;6.134;6.145
AIT5;6.094;6.109;6.11;6.104
AIT6;6.149;6.197;6.203;6.183
AIT7;6.265;6.205;6.177;6.216
AIT8;6.152;6.166;6.252;6.19
